Cash Positions Details,,,,,,,,Account Details,,,,,,Future Positions List,,,,,
Client ID,Accounting Balance,Accounting Balance,Value Date,Balance at Value Date,Balance at Value Date,Exchange Values Rate,Last Booking Date,IBAN,KBL Cash Account Number,Client Name,Account Title,Account Type,Account currency,Future Date D+1,Future Position D+1,Future Date D+2,Future Position D+2,Future Date D+3,Future Position D+3
,,Exchange Value (EUR),,,Exchange Value (EUR),,,,,,,,,,,,,,
ID-6259F89D,"13.346,62","15.283,63",31/12/2025,"13.346,62","15.283,63","1,145,130,784,275,790",31/12/2025,ID-B9FCA546,ID-6259F89D,,ID-F11D6A75,CC,GBP,02/01/2026,"13.346,62",05/01/2026,"13.346,62",06/01/2026,"13.346,62"
ID-6259F89D,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",06/02/2023,ID-B9FCA546,ID-6259F89D,,ID-F11D6A75,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-6259F89D,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",31/12/2025,ID-B9FCA546,ID-6259F89D,,ID-F11D6A75,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-3152370B,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",23/04/2024,ID-C3B140BC,ID-3152370B,,ID-6C2A9F1D,CC,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-3152370B,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",25/01/2023,ID-C3B140BC,ID-3152370B,,ID-6C2A9F1D,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-3152370B,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",22/03/2021,ID-C3B140BC,ID-3152370B,,ID-6C2A9F1D,75,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-3152370B,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",29/03/2024,ID-C3B140BC,ID-3152370B,,ID-6C2A9F1D,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-04650A73,"300,57","344,19",31/12/2025,"300,57","344,19","1,145,130,784,275,790",12/05/2025,ID-8069A593,ID-04650A73,,ID-B6B320BA,CC,GBP,02/01/2026,"300,57",05/01/2026,"300,57",06/01/2026,"300,57"
ID-04650A73,"0,00","0,00",31/12/2025,"0,00","0,00","1,00",06/08/2021,ID-8069A593,ID-04650A73,,ID-B6B320BA,75,EUR,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-04650A73,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",25/01/2023,ID-8069A593,ID-04650A73,,ID-B6B320BA,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-04650A73,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",23/07/2021,ID-8069A593,ID-04650A73,,ID-B6B320BA,75,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-04650A73,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",05/06/2024,ID-8069A593,ID-04650A73,,ID-B6B320BA,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","0,6211124723278957",19/05/2023,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,CC,CAD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","0,1338746319341458",12/09/2023,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,CC,DKK,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","1,00",22/02/2024,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,CC,EUR,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",20/05/2025,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,CC,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",14/12/2023,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,CC,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","10,746,448,298,837,200",03/04/2024,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,75,CHF,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","0,1338746319341458",10/03/2023,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,75,DKK,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","1,00",01/07/2024,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,75,EUR,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",19/07/2024,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","0,851376620027081",24/07/2024,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,75,USD,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",17/07/2023,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,76,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
